Frequency (GHz),1,2,3,4
1.60,8.917588,10.467162,12.005856,13.510238
1.70,9.106495,10.734516,12.376982,13.970298
1.80,9.294004,11.023541,12.765161,14.458632
1.90,9.608936,11.330233,13.148002,14.933656
2.10,9.972882,11.992781,14.120101,16.095992
2.20,10.186600,12.387976,14.591891,16.778784
2.30,10.467682,12.744690,15.096625,17.388040
2.40,10.714297,13.170894,15.729035,18.107884
2.50,11.038578,13.654125,16.340850,18.970344
2.60,11.357995,14.159141,17.140373,19.805074
2.70,11.710916,14.638274,17.819981,20.741133
2.90,12.469443,15.921959,19.459587,22.851076
3.00,12.996822,16.677438,20.448179,24.029792
3.10,13.391883,17.438792,21.488356,25.411676
3.20,13.926914,18.263648,22.826248,26.876067
